entry	sub	record	desc	stride	verts	indices	restarts	minx	maxx	miny	maxy	minz	maxz
2	13	38	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	0.0000	9.0519
2	13	39	0	28	24	29	5	-15.6782	15.6783	0.0000	1.8446	0.0000	10.1736
2	13	40	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0519	-0.0000
2	13	41	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	-10.1736	-0.0000
2	13	42	0	28	18	22	4	-15.6783	15.6782	-0.0000	1.8446	-9.0519	0.0000
2	13	43	0	28	24	29	5	-5.2100	5.2100	-27.4701	1.6535	-57.4756	-0.0000
2	13	44	0	28	24	29	5	-5.2100	5.2100	-27.4701	1.6535	0.0000	57.4756
2	13	45	0	28	24	29	5	-5.2100	5.2100	-27.4701	1.6605	-57.4756	0.0000
2	13	46	0	28	24	29	5	-5.2100	5.2100	-27.4702	1.6605	-0.0000	57.4756
2	13	47	0	28	24	29	5	-5.1538	5.2662	-27.4702	1.6674	-57.4756	-0.0000
2	13	48	0	28	24	29	5	-5.1538	5.2662	-27.4702	1.6674	0.0000	57.4756
2	13	49	0	28	24	29	5	-5.1538	5.2662	-27.4702	1.6744	-57.4756	0.0001
2	13	50	0	28	24	29	5	-5.1538	5.2662	-27.4702	1.6744	-0.0001	57.4756
2	13	51	0	28	34	44	8	164.5064	256.7243	-8.0684	-2.8101	-109.8730	-20.8112
2	13	52	0	28	32	39	7	136.3746	316.5491	-16.3242	-3.9086	-0.3187	22.4622
2	13	53	0	28	40	53	9	138.6534	331.5513	-19.8083	-7.3908	-34.0120	16.1274
2	13	54	0	28	18	22	4	147.1886	328.4757	-14.6295	-11.2233	-29.0486	-3.9575
2	13	55	0	28	34	44	8	-46.1089	46.1089	-2.6291	2.6291	-49.0712	39.9905
2	13	56	0	28	32	39	7	-84.7807	95.3937	-6.2041	6.2114	-0.0000	22.7809
2	13	57	0	28	40	53	9	-109.9953	82.9136	-7.3551	5.0624	-54.0731	-3.9470
2	13	58	0	28	18	22	4	-98.8529	82.4389	-2.2267	1.1677	-30.1280	-5.0675
2	13	59	0	28	16	19	3	-13.7016	13.7015	-3.1238	3.1238	-24.6807	34.1838
2	13	60	0	28	34	42	8	-45.3736	55.7419	-6.0895	6.5431	0.0000	22.7100
2	13	61	0	28	40	53	9	-43.3341	70.3809	-7.2740	5.6193	3.8483	53.8185
2	13	62	0	28	18	22	4	-43.0098	59.3677	-1.8745	1.6414	4.9283	29.9179
2	13	63	0	28	16	19	3	-13.7016	13.7015	-3.1238	3.1238	-34.1838	24.6807
2	13	64	0	28	34	42	8	-45.3735	55.7419	-6.0896	6.5431	-22.7100	0.0000
2	13	65	0	28	40	53	9	-43.3342	70.3809	-7.2740	5.6193	-53.8185	-3.8483
2	13	66	0	28	18	22	4	-43.0098	59.3677	-1.8745	1.6414	-29.9178	-4.9283
2	13	67	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1838	24.6807
2	13	68	0	28	34	42	8	-45.3735	55.7418	-6.0895	6.5431	-0.0002	22.7098
2	13	69	0	28	40	53	9	-43.3343	70.3780	-7.2740	5.6193	3.8507	53.8224
2	13	70	0	28	18	22	4	-43.0015	59.3732	-2.1345	1.3815	4.9335	29.9143
2	13	71	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1838	24.6807
2	13	72	0	28	34	42	8	-45.3734	55.7419	-6.0895	6.5431	-22.7098	0.0002
2	13	73	0	28	40	53	9	-43.3341	70.3810	-7.2740	5.6193	-53.8183	-3.8481
2	13	74	0	28	18	22	4	-43.0010	59.3764	-2.1351	1.3809	-29.9177	-4.9282
2	13	75	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1837	24.6808
2	13	76	0	28	34	42	8	-45.3735	55.7419	-6.0895	6.5431	0.0001	22.7100
2	13	77	0	28	40	53	9	-43.3344	70.3780	-7.2740	5.6193	3.8507	53.8223
2	13	78	0	28	18	22	4	-43.0015	59.3732	-2.1345	1.3815	4.9337	29.9145
2	13	79	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1837	24.6809
2	13	80	0	28	34	42	8	-45.3735	55.7420	-6.0895	6.5431	-22.7099	0.0000
2	13	81	0	28	40	53	9	-43.3342	70.3810	-7.2740	5.6193	-53.8186	-3.8483
2	13	82	0	28	18	22	4	-43.0010	59.3765	-2.1351	1.3809	-29.9181	-4.9286
2	13	83	0	28	62	73	11	-90.0368	118.6825	-3.5090	10.7441	-69.9862	8.1962
2	13	84	0	28	62	73	11	-118.6825	90.0368	-3.5090	10.7441	-69.9862	8.1962
2	13	85	0	28	14	17	3	-45.6894	60.6824	-1.5224	1.5048	-0.5666	32.7611
2	13	86	0	28	14	17	3	-45.6894	60.6823	-1.5224	1.5048	-32.7611	0.5667
2	13	87	0	28	14	17	3	-60.6912	45.6891	-1.5224	1.5048	-32.7811	0.5666
2	13	88	0	28	14	17	3	-60.7000	45.6886	-1.5224	1.5048	-32.8013	0.5666
2	13	89	0	28	14	17	3	-85.0145	100.1414	-1.4974	1.4833	-0.4633	32.9523
2	13	90	0	28	14	17	3	-85.0146	100.1412	-1.4974	1.4833	-32.9524	0.4632
2	13	91	0	28	14	17	3	-60.6912	45.6891	-1.5224	1.5048	-0.5666	32.7811
2	13	92	0	28	14	17	3	-60.7000	45.6887	-1.5224	1.5048	-0.5666	32.8013
2	14	0	0	28	1896	2690	488	-1204.7250	1204.7250	-95.8118	74.1266	-710.3382	314.3155
2	14	1	0	28	14	17	3	-5.2100	5.2100	-27.4701	1.6535	-57.4756	-0.0000
2	14	2	0	28	14	17	3	-5.2100	5.2100	-27.4701	1.6535	0.0000	57.4756
2	14	3	0	28	14	17	3	-5.2100	5.2100	-27.4701	1.6605	-57.4756	0.0000
2	14	4	0	28	14	17	3	-5.2100	5.2100	-27.4702	1.6605	-0.0000	57.4756
2	14	5	0	28	14	17	3	-5.1537	5.2662	-27.4702	1.6674	-57.4756	0.0000
2	14	6	0	28	14	17	3	-5.1537	5.2662	-27.4702	1.6674	-0.0000	57.4756
2	14	7	0	28	14	17	3	-5.1538	5.2662	-27.4702	1.6744	-57.4755	0.0001
2	14	8	0	28	14	17	3	-5.1538	5.2662	-27.4702	1.6744	-0.0001	57.4755
2	14	9	0	28	34	44	8	164.5064	256.7243	-8.0684	-2.8101	-109.8730	-20.8112
2	14	10	0	28	18	22	4	136.3746	316.5491	-16.3242	-3.9086	-0.3187	22.4622
2	14	11	0	28	34	40	6	138.6534	331.5513	-19.8083	-7.3908	-34.0120	16.1274
2	14	12	0	28	18	22	4	147.1886	328.4757	-14.6295	-11.2233	-29.0486	-3.9575
2	14	13	0	28	34	44	8	-46.1089	46.1089	-2.6291	2.6291	-49.0712	39.9905
2	14	14	0	28	18	22	4	-84.7807	95.3937	-6.2041	6.2114	-0.0000	22.7809
2	14	15	0	28	34	40	6	-109.9953	82.9136	-7.3551	5.0624	-54.0731	-3.9470
2	14	16	0	28	18	22	4	-98.8529	82.4389	-2.2267	1.1677	-30.1280	-5.0675
2	14	17	0	28	16	19	3	-13.7016	13.7015	-3.1238	3.1238	-24.6807	34.1838
2	14	18	0	28	18	22	4	-45.3736	55.7419	-6.0895	6.5431	0.0000	22.7100
2	14	19	0	28	34	40	6	-43.3341	70.3809	-7.2740	5.6193	3.8483	53.8185
2	14	20	0	28	18	22	4	-43.0098	59.3677	-1.8745	1.6414	4.9283	29.9179
2	14	21	0	28	16	19	3	-13.7016	13.7015	-3.1238	3.1238	-34.1838	24.6807
2	14	22	0	28	18	22	4	-45.3735	55.7419	-6.0896	6.5431	-22.7100	0.0000
2	14	23	0	28	34	40	6	-43.3342	70.3809	-7.2740	5.6193	-53.8185	-3.8483
2	14	24	0	28	18	22	4	-43.0098	59.3677	-1.8745	1.6414	-29.9178	-4.9283
2	14	25	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1838	24.6807
2	14	26	0	28	18	22	4	-45.3735	55.7419	-6.0895	6.5431	-0.0002	22.7098
2	14	27	0	28	34	40	6	-43.3343	70.3780	-7.2740	5.6193	3.8507	53.8224
2	14	28	0	28	18	22	4	-43.0015	59.3732	-2.1345	1.3815	4.9335	29.9143
