index	group	archive	codec	source_offset	stored_size	expanded_size	source_end
251	0x00010000	DATA00.PAC	mode1-xor-deflate	2138603520	313402	344188	2138916922
252	0x00010000	DATA00.PAC	mode1-xor-deflate	2138931200	330097	358580	2139261297
253	0x00010000	DATA00.PAC	mode1-xor-deflate	2139291648	291448	323704	2139583096
254	0x00010000	DATA00.PAC	mode1-xor-deflate	2139586560	189048	211048	2139775608
255	0x00010000	DATA00.PAC	mode1-xor-deflate	2139783168	264701	299140	2140047869
256	0x00010000	DATA00.PAC	mode1-xor-deflate	2140078080	260961	292984	2140339041
257	0x00010000	DATA00.PAC	mode1-xor-deflate	2140340224	145537	168064	2140485761
258	0x00010000	DATA00.PAC	mode1-xor-deflate	2140504064	713938	788568	2141218002
259	0x00010000	DATA00.PAC	mode1-xor-deflate	2141224960	243189	270508	2141468149
260	0x00010000	DATA00.PAC	mode1-xor-deflate	2141487104	357245	391360	2141844349
261	0x00010000	DATA00.PAC	mode1-xor-deflate	2141847552	299780	338048	2142147332
262	0x00020000	DATA00.PAC	mode1-xor-raw	2142175232	100	100	2142175332
263	0x00020000	DATA00.PAC	mode1-xor-raw	2142208000	100	100	2142208100
264	0x00010000	DATA00.PAC	mode1-xor-deflate	2142240768	30780	880640	2142271548
265	0x00010000	DATA00.PAC	mode1-xor-deflate	2142273536	36302	1007616	2142309838
266	0x00010000	DATA00.PAC	mode1-xor-deflate	2142339072	34936	917504	2142374008
267	0x00010000	DATA00.PAC	mode1-xor-deflate	2142404608	442475	7725056	2142847083
268	0x00010000	DATA00.PAC	mode1-xor-deflate	2142863360	90000	2039808	2142953360
269	0x00010000	DATA00.PAC	mode1-xor-deflate	2142961664	120670	2125824	2143082334
270	0x00010000	DATA00.PAC	mode1-xor-deflate	2143092736	117063	1912832	2143209799
271	0x00010000	DATA00.PAC	mode1-xor-deflate	2143223808	119610	1929216	2143343418
272	0x00010000	DATA00.PAC	mode1-xor-deflate	2143354880	77972	1925120	2143432852
273	0x00010000	DATA00.PAC	mode1-xor-deflate	2143453184	110690	1912832	2143563874
274	0x00010000	DATA00.PAC	mode1-xor-deflate	2143584256	115059	2060288	2143699315
275	0x00010000	DATA00.PAC	mode1-xor-deflate	2143715328	93813	2011136	2143809141
276	0x00010000	DATA00.PAC	mode1-xor-deflate	2143813632	55168	1912832	2143868800
277	0x00010000	DATA00.PAC	mode1-xor-deflate	2143879168	117710	1912832	2143996878
278	0x00010000	DATA00.PAC	mode1-xor-deflate	2144010240	114999	2007040	2144125239
279	0x00010000	DATA00.PAC	mode1-xor-deflate	2144141312	115851	1900544	2144257163
280	0x00010000	DATA00.PAC	mode1-xor-deflate	2144272384	87051	1961984	2144359435
281	0x00010000	DATA00.PAC	mode1-xor-deflate	2144370688	80383	1724416	2144451071
282	0x00010000	DATA00.PAC	mode1-xor-deflate	2144468992	87227	1912832	2144556219
283	0x00010000	DATA00.PAC	mode1-xor-deflate	2144567296	98672	1679360	2144665968
284	0x00010000	DATA00.PAC	mode1-xor-deflate	2144698368	161741	1626112	2144860109
285	0x00010000	DATA00.PAC	mode1-xor-deflate	2144862208	140276	1626112	2145002484
286	0x00010000	DATA00.PAC	mode1-xor-deflate	2145026048	142251	1626112	2145168299
287	0x00010000	DATA00.PAC	mode1-xor-deflate	2145189888	133191	1626112	2145323079
288	0x00010000	DATA00.PAC	mode1-xor-deflate	2145353728	138230	1626112	2145491958
289	0x00010000	DATA00.PAC	mode1-xor-deflate	2145517568	145800	1626112	2145663368
290	0x00010000	DATA00.PAC	mode1-xor-deflate	2145681408	155798	1626112	2145837206
291	0x00010000	DATA00.PAC	mode1-xor-deflate	2145845248	134788	1626112	2145980036
292	0x00010000	DATA00.PAC	mode1-xor-deflate	2146009088	156195	1626112	2146165283
293	0x00010000	DATA00.PAC	mode1-xor-deflate	2146172928	167632	1626112	2146340560
294	0x00010000	DATA00.PAC	mode1-xor-deflate	2146369536	143842	1626112	2146513378
295	0x00010000	DATA00.PAC	mode1-xor-deflate	2146533376	143621	1626112	2146676997
296	0x00010000	DATA00.PAC	mode1-xor-deflate	2146697216	153118	1626112	2146850334
297	0x00010000	DATA00.PAC	mode1-xor-deflate	2146861056	145217	1626112	2147006273
298	0x00010000	DATA00.PAC	mode1-xor-deflate	2147024896	139455	1626112	2147164351
299	0x00010000	DATA00.PAC	mode1-xor-deflate	2147188736	139744	1626112	2147328480
300	0x00010000	DATA00.PAC	mode1-xor-deflate	2147352576	137933	1626112	2147490509
301	0x00010000	DATA00.PAC	mode1-xor-deflate	2147516416	18970	614400	2147535386
302	0x00010000	DATA00.PAC	mode1-xor-deflate	2147549184	148847	1560576	2147698031
303	0x00010000	DATA00.PAC	mode1-xor-deflate	2147713024	151713	1560576	2147864737
304	0x00010000	DATA00.PAC	mode1-xor-deflate	2147876864	151173	1560576	2148028037
305	0x00010000	DATA00.PAC	mode1-xor-deflate	2148040704	146719	1560576	2148187423
306	0x00010000	DATA00.PAC	mode1-xor-deflate	2148204544	152746	1560576	2148357290
307	0x00010000	DATA00.PAC	mode1-xor-deflate	2148368384	159040	1560576	2148527424
308	0x00010000	DATA00.PAC	mode1-xor-deflate	2148532224	156195	1560576	2148688419
309	0x00010000	DATA00.PAC	mode1-xor-deflate	2148696064	146715	1560576	2148842779
310	0x00010000	DATA00.PAC	mode1-xor-deflate	2148859904	146945	1560576	2149006849
311	0x00010000	DATA00.PAC	mode1-xor-deflate	2149023744	159041	1560576	2149182785
312	0x00010000	DATA00.PAC	mode1-xor-deflate	2149187584	144452	1560576	2149332036
313	0x00010000	DATA00.PAC	mode1-xor-deflate	2149351424	152738	1560576	2149504162
314	0x00010000	DATA00.PAC	mode1-xor-deflate	2149515264	130802	1560576	2149646066
315	0x00010000	DATA00.PAC	mode1-xor-deflate	2149646336	147728	1560576	2149794064
