# The 1619 locator-like words the RTTI sweep refused, named at last.
# Produced by scripts/Ac6RttiRejects.java, read-only, no oracle. It re-runs
# SweepMsvcRtti's identical scan - same 811 vtables, same 1619 refusals -
# and records which step of the chain refused each candidate.
#
# reason is the first step that failed, in the sweep's own order:
# signature, type_out_of_range, hierarchy_out_of_range, name_unreadable,
# name_not_rtti, slot_unreadable, slot_not_code.
#
# Not one candidate reached the vtable test. Every refusal happened on the
# name, which is to say the word never pointed at a type descriptor at all,
# so no class was lost to this filter.
#
# name_bytes is the hex of whatever the sweep read where a decorated name
# should be, and empty when it could not be read at all. It is binary, and
# that is the point.
# image range 82000400..82ac3083
# hierarchy_out_of_range=1 name_not_rtti=1096 name_unreadable=522
# columns: at target reason block name_bytes following_word
0x8206c30c	0x8206c310	name_not_rtti	.rdata	8268eba4	0x00000000
0x8206c340	0x8206c310	name_not_rtti	.rdata	8268eba4	0x00000000
0x8206c354	0x8206c3d8	name_not_rtti	.rdata	8206d24c8206d1b4	0x00000000
0x8206c368	0x8206c3d8	name_not_rtti	.rdata	8206d24c8206d1b4	0x00000000
0x8206c37c	0x8206c394	name_not_rtti	.rdata	8206d2048206d24c8206d1b4	0x00000000
0x8206c390	0x8206c394	name_not_rtti	.rdata	8206d2048206d24c8206d1b4	0x00000000
0x8206c3d4	0x8206c3d8	name_not_rtti	.rdata	8206d24c8206d1b4	0x00000000
0x8206c414	0x8206c394	name_not_rtti	.rdata	8206d2048206d24c8206d1b4	0x00000000
0x8206c428	0x8206c454	name_not_rtti	.rdata	8206d2cc8206d2b08206c47c	0x00000000
0x8206c43c	0x8206c454	name_not_rtti	.rdata	8206d2cc8206d2b08206c47c	0x00000000
0x8206c450	0x8206c454	name_not_rtti	.rdata	8206d2cc8206d2b08206c47c	0x00000000
0x8206c494	0x8206cde8	name_not_rtti	.rdata	8268f154	0x8268ec40
0x8206c4b0	0x8206c454	name_not_rtti	.rdata	8206d2cc8206d2b08206c47c	0x00000000
0x8206c4c4	0x8206c4c8	name_unreadable	.rdata		0x00000000
0x8206c4fc	0x8206c500	name_not_rtti	.rdata	8268ec9c	0x00000000
0x8206c530	0x8206c4c8	name_unreadable	.rdata		0x00000000
0x8206c544	0x8206c548	name_unreadable	.rdata		0x00000000
0x8206c57c	0x8206c548	name_unreadable	.rdata		0x00000000
0x8206c590	0x8206c594	name_unreadable	.rdata		0x00000000
0x8206c5c8	0x8206c594	name_unreadable	.rdata		0x00000000
0x8206c5dc	0x8206c5e0	name_unreadable	.rdata		0x00000000
0x8206c614	0x8206c5e0	name_unreadable	.rdata		0x00000000
0x8206c628	0x8206c62c	name_unreadable	.rdata		0x00000000
0x8206c660	0x8206c62c	name_unreadable	.rdata		0x00000000
0x8206c674	0x8206c678	name_unreadable	.rdata		0x00000000
0x8206c6ac	0x8206c678	name_unreadable	.rdata		0x00000000
0x8206c6c0	0x8206c6c4	name_unreadable	.rdata		0x00000000
0x8206c6f8	0x8206c6c4	name_unreadable	.rdata		0x00000000
0x8206c70c	0x8206c710	name_not_rtti	.rdata	8268ede0	0x00000000
0x8206c740	0x8206c710	name_not_rtti	.rdata	8268ede0	0x00000000
0x8206c754	0x8206c758	name_unreadable	.rdata		0x00000000
0x8206c78c	0x8206c758	name_unreadable	.rdata		0x00000000
0x8206c7a0	0x8206c7a4	name_unreadable	.rdata		0x00000000
0x8206c7d8	0x8206c7a4	name_unreadable	.rdata		0x00000000
0x8206c7ec	0x8206c7f0	name_unreadable	.rdata		0x00000000
0x8206c824	0x8206c7f0	name_unreadable	.rdata		0x00000000
0x8206c838	0x8206c83c	name_unreadable	.rdata		0x00000000
0x8206c870	0x8206c83c	name_unreadable	.rdata		0x00000000
0x8206c884	0x8206c888	name_unreadable	.rdata		0x00000000
0x8206c8bc	0x8206c888	name_unreadable	.rdata		0x00000000
0x8206c8d0	0x8206c8d4	name_unreadable	.rdata		0x00000000
0x8206c908	0x8206c8d4	name_unreadable	.rdata		0x00000000
0x8206c91c	0x8206c920	name_unreadable	.rdata		0x00000000
0x8206c954	0x8206c920	name_unreadable	.rdata		0x00000000
0x8206c968	0x8206c96c	name_not_rtti	.rdata	8268ef0c	0x00000000
0x8206c99c	0x8206c96c	name_not_rtti	.rdata	8268ef0c	0x00000000
0x8206c9b0	0x8206d2e8	name_not_rtti	.rdata	8268f434	0x00000000
0x8206c9c4	0x8206c9c8	name_not_rtti	.rdata	8268ef34	0x00000000
0x8206c9f8	0x8206c9c8	name_not_rtti	.rdata	8268ef34	0x00000000
0x8206ca0c	0x8206ca10	name_not_rtti	.rdata	8268ef58	0x00000000
0x8206ca40	0x8206ca10	name_not_rtti	.rdata	8268ef58	0x00000000
0x8206ca54	0x8206ca58	name_unreadable	.rdata		0x00000000
0x8206ca8c	0x8206ca58	name_unreadable	.rdata		0x00000000
0x8206caa0	0x8206caa4	name_unreadable	.rdata		0x00000000
0x8206cad8	0x8206caa4	name_unreadable	.rdata		0x00000000
0x8206caec	0x8206caf0	name_unreadable	.rdata		0x00000000
0x8206cb24	0x8206caf0	name_unreadable	.rdata		0x00000000
0x8206cb38	0x8206cb3c	name_not_rtti	.rdata	8206cd3c	0x00000000
0x8206cb74	0x8206cb3c	name_not_rtti	.rdata	8206cd3c	0x00000000
0x8206cb88	0x8206cb8c	name_not_rtti	.rdata	8206cd3c	0x00000000
0x8206cbc4	0x8206cb8c	name_not_rtti	.rdata	8206cd3c	0x00000000
0x8206cbd8	0x8206cbdc	name_unreadable	.rdata		0x00000000
0x8206cc10	0x8206cbdc	name_unreadable	.rdata		0x00000000
0x8206cc24	0x8206cc28	name_not_rtti	.rdata	8206cd708206cd3c	0x00000000
0x8206cc64	0x8206cc28	name_not_rtti	.rdata	8206cd708206cd3c	0x00000000
0x8206cc78	0x8206cc7c	name_not_rtti	.rdata	8206cd708206cd3c	0x00000000
0x8206ccb8	0x8206cc7c	name_not_rtti	.rdata	8206cd708206cd3c	0x00000000
0x8206cccc	0x8206ccd0	name_not_rtti	.rdata	8206cd3c	0x00000000
0x8206cd08	0x8206ccd0	name_not_rtti	.rdata	8206cd3c	0x00000000
0x8206cd1c	0x8206cd20	name_unreadable	.rdata		0x00000000
0x8206cd54	0x8206cd58	name_not_rtti	.rdata	8268f108	0x00000000
0x8206cd88	0x8206cd20	name_unreadable	.rdata		0x00000000
0x8206cd9c	0x8206cda0	name_not_rtti	.rdata	8268f130	0x00000000
0x8206cdd0	0x8206cda0	name_not_rtti	.rdata	8268f130	0x00000000
0x8206cde4	0x8206cde8	name_not_rtti	.rdata	8268f154	0x00000000
0x8206ce18	0x8206cde8	name_not_rtti	.rdata	8268f154	0x00000000
0x8206ce2c	0x8206ce30	name_not_rtti	.rdata	8268f178	0x00000000
0x8206ce60	0x8206ce30	name_not_rtti	.rdata	8268f178	0x00000000
0x8206ce74	0x8206ce78	name_not_rtti	.rdata	8268f1a0	0x00000000
0x8206cea8	0x8206ce78	name_not_rtti	.rdata	8268f1a0	0x00000000
0x8206cebc	0x8206cec0	name_unreadable	.rdata		0x00000000
0x8206cef4	0x8206cec0	name_unreadable	.rdata		0x00000000
0x8206cf08	0x8206cf0c	name_unreadable	.rdata		0x00000000
0x8206cf40	0x8206cf0c	name_unreadable	.rdata		0x00000000
0x8206cf54	0x8206cf58	name_not_rtti	.rdata	8268f210	0x00000000
0x8206cf88	0x8206cf58	name_not_rtti	.rdata	8268f210	0x00000000
0x8206cf9c	0x8206cfa0	name_not_rtti	.rdata	8206d798	0x00000000
0x8206cfd8	0x8206cfa0	name_not_rtti	.rdata	8206d798	0x00000000
0x8206cfec	0x8206cff0	name_not_rtti	.rdata	8268f25c	0x00000000
0x8206d020	0x8206cff0	name_not_rtti	.rdata	8268f25c	0x00000000
0x8206d034	0x8206d038	name_not_rtti	.rdata	8206d798	0x00000000
0x8206d070	0x8206d038	name_not_rtti	.rdata	8206d798	0x00000000
0x8206d084	0x8206d088	name_not_rtti	.rdata	8206d798	0x00000000
